IdSensore,Tipologia,Unità DiMisura,IdStazione,NomeStazione,Quota,Provincia,NomeComune,Indirizzo,CGB_Nord,CGB_Est,lng,lat,location
8229,Temperatura,°C,907,Varese - via Appiani *,416,VA,Varese,VIA APPIANI ANDREA 15,5075472,1486327,8.82361133,45.83249661,"(45.83249661, 8.82361133)"
8230,Precipitazione,mm,900,Chiari *,140,BS,Chiari,CANALE TRAVAGLIATA,5041413,1573264,9.93777786,45.52222175,"(45.52222175, 9.93777786)"
8583,Precipitazione,mm,999,Poggio S.Elsa (Comune Laveno),951,VA,Laveno Mombello,POGGIO S.ELSA,5084036,1472514,8.64527508,45.90916289,"(45.90916289, 8.64527508)"
8584,Temperatura,°C,999,Poggio S.Elsa (Comune Laveno),951,VA,Laveno Mombello,POGGIO S.ELSA,5084036,1472514,8.64527508,45.90916289,"(45.90916289, 8.64527508)"
8585,Umidità Relativa,%,999,Poggio S.Elsa (Comune Laveno),951,VA,Laveno Mombello,POGGIO S.ELSA,5084036,1472514,8.64527508,45.90916289,"(45.90916289, 8.64527508)"
8587,Precipitazione,mm,998,Laveno Molo (Comune Laveno),207,VA,Laveno Mombello,PIAZZA CADUTI DEL LAVORO,5084129,1470452,8.61868417,45.90991464,"(45.90991464, 8.61868417)"
8588,Temperatura,°C,998,Laveno Molo (Comune Laveno),207,VA,Laveno Mombello,PIAZZA CADUTI DEL LAVORO,5084129,1470452,8.61868417,45.90991464,"(45.90991464, 8.61868417)"
9001,Temperatura,°C,1210,Ranzanico *,512,BG,Ranzanico,via dei Caprini - loc. Bocciofilo,5070833,1572529,9.93275272,45.78706456,"(45.78706456, 9.93275272)"
9002,Temperatura,°C,1211,Castronno,379,VA,Castronno,via Belvedere,5066166,1486085,8.82076322,45.74873297,"(45.74873297, 8.82076322)"
9003,Temperatura,°C,1212,Castione della Presolana *,"1,180",BG,Castione della Presolana,loc. Ponciai,5086669,1582469,10.06332908,45.92845581,"(45.92845581, 10.06332908)"
9008,Temperatura,°C,1216,Valbondione *,"1,802",BG,Valbondione,Diga del Barbellino ENEL,5101767,1580355,10.03860694,46.06456797,"(46.06456797, 10.03860694)"
9010,Temperatura,°C,1235,Ponte Cene - Cene *,361,BG,Cene,cabina gas metano comunale,5070421,1563888,9.82188244,45.78454989,"(45.78454989, 9.82188244)"
9011,Temperatura,°C,1230,Lago Truzzo - S.Giacomo Filippo *,"2,064",SO,San Giacomo Filippo,Diga Lago Truzzo ENEL,5134178,1524642,9.31999053,46.36054214,"(46.36054214, 9.31999053)"
9012,Temperatura,°C,1238,S.Martino Valmasino *,943,SO,Val Masino,centro sportivo comunale,5121090,1548764,9.63217806,46.24144667,"(46.24144667, 9.63217806)"
9013,Temperatura,°C,1220,Case Pirli - Ponte di Legno *,"1,640",BS,Ponte di Legno,PONTE DI LEGNO,5128162,1616058,10.50656194,46.29690536,"(46.29690536, 10.50656194)"
9014,Temperatura,°C,1237,S.Giacomo - Monno *,"1,728",BS,Monno,MONNO,5122713,1600913,10.308807,46.25030272,"(46.25030272, 10.308807)"
9015,Temperatura,°C,1229,Grabiasca *,738,BG,Gandellino,GANDELLINO ponte sull'Adda,5095358,1573413,9.94787769,46.00767519,"(46.00767519, 9.94787769)"
9016,Temperatura,°C,1224,Cortenova *,456,LC,Cortenova,campo sportivo,5094968,1529478,9.38040375,46.00746603,"(46.00746603, 9.38040375)"
9017,Temperatura,°C,1205,Molteno,278,LC,Molteno,MOLTENO,5070006,1523899,9.30710044,45.78301922,"(45.78301922, 9.30710044)"
9019,Temperatura,°C,1201,Canevino *,455,PV,Canevino,area comunale vicino campi da tennis,4975763,1521779,9.275674,44.93479528,"(44.93479528, 9.275674)"
9020,Temperatura,°C,1222,Cavargna *,"1,100",CO,Cavargna,CAVARGNA chiesa parrocchiale,5104246,1508595,9.11084686,46.09155206,"(46.09155206, 9.11084686)"
9021,Temperatura,°C,1234,Osnago *,234,LC,Osnago,area comunale depuratore,5058333,1530288,9.38855728,45.6777065,"(45.6777065, 9.38855728)"
9024,Temperatura,°C,1221,Casnigo (IP gsm),501,BG,Casnigo,area comunale vicino campo sportivo,5075998,1568075,9.87618792,45.83400011,"(45.83400011, 9.87618792)"
9025,Temperatura,°C,1228,Goito *,30,MN,Goito,c/o acquedotto comunale,5013602,1630543,10.66359803,45.26361744,"(45.26361744, 10.66359803)"
9026,Temperatura,°C,1233,Lurago Marinone *,296,CO,Lurago Marinone,area comunale ex depuratore zona industriale,5061887,1497877,8.97238367,45.71035675,"(45.71035675, 8.97238367)"
9027,Temperatura,°C,1206,Cavaria,274,VA,Cavaria con Premezzo,via Cantalupa c/o Prot.civile e circolo anziani,5059587,1485053,8.80769797,45.68949617,"(45.68949617, 8.80769797)"
9028,Temperatura,°C,1202,Vercana,980,CO,Vercana,area demaniale -  loc. Monti di Vercana,5114325,1525085,9.32468906,46.18185467,"(46.18185467, 9.32468906)"
9030,Temperatura,°C,1218,Valcanale *,"1,002",BG,Ardesio,ARDESIO scuola comunale,5088938,1566944,9.863434,45.95056364,"(45.95056364, 9.863434)"
9031,Temperatura,°C,1219,Casalbuttano *,56,CR,Casalbuttano ed Uniti,CASALBUTTANO ED UNITI,5011856,1575627,9.96349494,45.25595928,"(45.25595928, 9.96349494)"
9034,Temperatura,°C,1209,Rota d` Imagna,674,BG,Rota d'Imagna,cimitero - loc. Caboli,5076401,1539736,9.51135208,45.83984475,"(45.83984475, 9.51135208)"
9073,Velocità Vento,m/s,1211,Castronno,379,VA,Castronno,via Belvedere,5066166,1486085,8.82076322,45.74873297,"(45.74873297, 8.82076322)"
9074,Velocità Vento,m/s,1202,Vercana,980,CO,Vercana,area demaniale -  loc. Monti di Vercana,5114325,1525085,9.32468906,46.18185467,"(46.18185467, 9.32468906)"
9090,Precipitazione,mm,1210,Ranzanico *,512,BG,Ranzanico,via dei Caprini - loc. Bocciofilo,5070833,1572529,9.93275272,45.78706456,"(45.78706456, 9.93275272)"
9091,Precipitazione,mm,1211,Castronno,379,VA,Castronno,via Belvedere,5066166,1486085,8.82076322,45.74873297,"(45.74873297, 8.82076322)"
9092,Precipitazione,mm,1212,Castione della Presolana *,"1,180",BG,Castione della Presolana,loc. Ponciai,5086669,1582469,10.06332908,45.92845581,"(45.92845581, 10.06332908)"
9097,Precipitazione,mm,1216,Valbondione *,"1,802",BG,Valbondione,Diga del Barbellino ENEL,5101767,1580355,10.03860694,46.06456797,"(46.06456797, 10.03860694)"
